Males	Females	Area
1905493	1777197	Jalgaon
1147403	1085077	Buldana
841253	788986	Akola
526094	494122	Washim
1345614	1261546	Amravati
638990	597746	Wardha
2105314	1962323	Nagpur
573445	562701	Bhandara
598834	601873	Gondiya
491101	479193	Gadchiroli
1062993	1008108	Chandrapur
1265681	1192590	Yavatmal
1481358	1394901	Nanded
505373	481787	Hingoli
780191	747524	Parbhani
826903	786077	Jalna
1505363	1391650	Aurangabad
2590912	2402884	Nashik
4377747	3754102	Thane
4741720	3898699	Mumbai
1878246	1459785	Mumbai
1117628	1090301	Raigarh
3769128	3463427	Pune
2083053	1957589	Ahmadnagar
1116356	1044894	Bid
1075257	1005028	Latur
769368	717218	Osmanabad
1989623	1859920	Solapur
1408326	1400668	Satara
794498	902279	Ratnagiri
417890	450935	Sindhudurg
1807470	1715692	Kolhapur
1320088	1263436	Sangli
58014	53485	Tamenglong
117232	110673	Churachandpur
104550	103818	Bishnupur
182250	181890	Thoubal
221781	222601	Imphal
198371	196505	Imphal
73465	67313	Ukhrul
59741	58586	Chandel
263424	254966	West
127474	123108	East
52007	48973	South
150419	145630	West
99319	93471	Ri
333553	327370	East
149891	149217	Jaintia
33114	29671	Mamit
34562	31398	Kolasib
166877	158799	Aizawl
55756	52636	Champhai
27380	26481	Serchhip
71402	65821	Lunglei
38776	34844	Lawngtlai
31242	29814	Saiha
295297	264198	Sheopur
874089	718625	Morena
780902	647657	Bhind
883317	748792	Gwalior
338232	290008	Datia
776190	665760	Shivpuri
884020	782747	Guna
637913	565085	Tikamgarh
788933	685790	Chhatarpur
450549	406009	Panna
1073205	948782	Sagar
570229	513720	Damoh
971396	898708	Satna
1016687	956619	Rewa
265128	250835	Umaria
804988	770315	Shahdol
947830	883322	Sidhi
372419	353651	Neemuch
605119	578605	Mandsaur
620862	594531	Ratlam
882871	828111	Ujjain
669852	620833	Shajapur
677866	630357	Dewas
702053	692508	Jhabua
890416	849913	Dhar
1289352	1176475	Indore
784604	744958	West
548609	532832	Barwani
884966	828168	East
649106	604979	Rajgarh
647838	567019	Vidisha
972649	870861	Bhopal
565137	513775	Sehore
598247	526907	Raisen
709956	685219	Betul
247226	227190	Harda
571774	512491	Hoshangabad
548368	515799	Katni
1127304	1023899	Jabalpur
501645	456001	Narsimhapur
291716	289014	Dindori
447956	446280	Mandla
947337	901946	Chhindwara
588750	577858	Seoni
740749	757219	Balaghat
138753	121899	Mon
218678	196140	Tuensang
120929	111156	Mokokchung
79056	74899	Zunheboto
83670	77553	Wokha
166663	142361	Dimapur
162251	147833	Kohima
77141	71054	Phek
681500	664836	Bargarh
261941	247775	Jharsuguda
475122	460491	Sambalpur
138408	135700	Debagarh
935601	895072	Sundargarh
790036	771954	Kendujhar
1123200	1100256	Mayurbhanj
1036511	987997	Baleshwar
675642	658107	Bhadrak
646438	655567	Kendrapara
